ticker,marketCap,trailingPE,forwardPE,priceToSalesTrailing12Months,priceToBook,revenueGrowth,earningsGrowth,grossMargins,profitMargins,returnOnAssets,returnOnEquity,currentRatio,debtToEquity,freeCashflow,ebitda
KEYS,27758202880,30.759617,22.94835,5.5483117,5.306725,-0.119,0.379,0.63462,0.18249,0.0644,0.18031,2.05,38.929,750750016.0,1187000064.0
KMB,48974671872,21.510355,18.958279,2.4149246,43.135567,-0.02,4.367,0.36198002,0.112770006,0.1146,2.3954499,0.849,623.731,2171375104.0,3927000064.0
KLAC,90905395200,33.441105,20.400482,9.264483,27.079062,0.091,0.245,0.59968,0.28147,0.15392,0.87845004,2.152,202.464,2180707584.0,4035056128.0
KHC,43526881280,23.076923,11.392405,1.6539453,0.89014167,-0.036,-0.901,0.34761003,0.07303,0.03824,0.03867,1.006,40.656,2332875008.0,6493000192.0
KR,40898662400,14.7984295,12.342794,0.27229106,4.5817795,-0.006,-0.882,0.23159,0.018609999,0.059609998,0.24285999,0.872,229.201,2016749952.0,8067999744.0
LHX,47194808320,39.86859,17.433777,2.2728057,2.5060186,0.129,0.049,0.26333,0.05731,0.03874,0.06197,0.896,70.102,2099124992.0,3686000128.0
LH,18116761600,40.180634,13.596093,1.45078,2.258544,0.062,0.146,0.27998,0.036,0.04079,0.05357,0.879,75.489,801649984.0,1655800064.0
LRCX,94408646656,25.117239,16.479637,6.3338614,11.12061,0.207,0.303,0.47608003,0.2568,0.14408,0.45706,2.97,61.726,3357031424.0,4685173760.0
LW,11154015232,18.361502,15.834008,1.7275906,6.0725102,-0.007,-0.45,0.25113,0.09573,0.08644,0.37015,1.193,221.158,-315924992.0,1294400000.0
LVS,37963067392,24.201876,18.543165,3.3213534,10.105862,0.086,0.168,0.76912004,0.14077,0.07909,0.47807997,1.583,352.799,1698875008.0,4031000064.0
LDOS,22836717568,53.141068,17.732218,1.4265816,5.1259413,0.077,0.58,0.15773,0.02724,0.07692,0.096260004,1.207,114.457,1231250048.0,1900999936.0
LEN,50825191424,12.545152,11.683982,1.3938936,1.8694465,0.079,0.101,0.23245001,0.11512,0.087790005,0.15878001,11.501,14.665,4653636096.0,5534482944.0
LLY,826564018176,113.610146,39.80789,21.235985,60.946087,0.36,0.682,0.80752,0.18863001,0.13703,0.59248,1.114,212.883,-675324992.0,15501899776.0
LIN,232281341952,37.048744,28.447369,7.07657,6.083971,0.008,0.078,0.47563,0.19492,0.0675,0.16193001,0.951,54.406,2888250112.0,12398000128.0
LKQ,10348594176,14.294546,10.053709,0.71453387,1.6945426,0.076,-0.336,0.39356,0.05027,0.056950003,0.12129,1.751,93.001,537374976.0,1722000000.0
LMT,145829806080,22.223392,21.48964,2.0519469,23.481482,0.086,0.033,0.12164,0.09478,0.09983,0.87394994,1.242,311.854,5801750016.0,10167000064.0
L,17960062976,11.997067,28.213793,1.0766133,1.0971947,0.085,0.055,0.36315,0.09142,0.01908,0.09997,0.496,55.642,1616875008.0,2979000064.0
LULU,35805458432,22.571981,19.533155,3.5843847,8.949824,0.073,0.175,0.58536,0.16343,0.22567,0.43159,2.432,36.186,1563643776.0,2699964928.0
LYB,29742391296,12.867791,9.955386,0.7247701,2.2113988,0.024,0.293,0.12206,0.05658,0.05483,0.17465,2.1,94.093,1810375040.0,4640000000.0
MRO,14946712576,10.4375,10.995884,2.2677457,1.3328676,0.122,0.319,0.76331,0.22698,0.06323,0.13327,0.572,47.269,1451624960.0,4281999872.0
MPC,52980477952,8.296646,16.022266,0.35611862,2.5314229,0.038,-0.186,0.1192,0.04828,0.07514,0.28934,1.306,107.202,6738999808.0,13656999936.0
MKTX,10903909376,41.67821,35.395832,14.02414,8.210062,0.099,0.082,0.62499,0.33713,0.113299996,0.21017,14.579,5.734,167764752.0,391422016.0
MMC,110477901824,27.701605,23.573978,4.613819,8.059262,0.059,0.027,0.45241,0.16822,0.08321,0.32048,1.137,106.462,3657374976.0,7246000128.0
MLM,35509035008,17.484201,26.923077,5.3661723,4.0177584,-0.031,-0.152,0.29463,0.30812,0.05982,0.25312,1.864,53.631,1439250048.0,2043500032.0
MA,477012983808,39.535988,31.011414,18.075521,64.39761,0.11,0.167,1.0,0.46449003,0.23647,1.8770399,1.14,208.567,12009624576.0,16243999744.0
MKC,21521033216,27.272108,25.616613,3.2224352,3.9687178,-0.003,0.317,0.38483003,0.11868,0.05164,0.15067,0.714,84.828,588337472.0,1270200064.0
MDT,118307012608,31.057238,15.767521,3.6316118,2.4672337,0.028,0.356,0.65525,0.12055001,0.04415,0.07948,2.133,57.859,4904750080.0,9013000192.0
META,1458365267968,29.502045,23.625818,9.736456,9.31473,0.221,0.732,0.81491,0.34339002,0.17661,0.35375,2.83,24.235,32011874304.0,74774003712.0
MET,59751727104,23.184782,8.688392,0.8688633,2.2033417,0.072,1.667,0.2383,0.0423,0.00418,0.10122,1.533,174.129,-1989250048.0,5244000256.0
MGM,12512285696,15.4849615,14.302082,0.73549664,3.9098244,0.098,0.091,0.46453997,0.051680002,0.02592,0.27016002,1.47,825.413,805085760.0,2552780032.0
